BOARD;CHANNEL;TIMETAG;ENERGY;ENERGYSHORT;FLAGS
0;0;1183671101592;398;314;0x4000
0;0;1208506698857;60;56;0x4000
0;0;1209048012803;147;103;0x4000
0;0;1229005892249;46;45;0x4000
0;0;1234151416029;37;29;0x4000
0;0;1237734350460;100;82;0x4000
0;0;1251702855029;39;37;0x4000
0;0;1253995229952;75;65;0x4000
0;0;1256417467202;29;28;0x4000
0;0;1280845997015;75;68;0x4000
0;0;1287367694951;28;34;0x4000
0;0;1289878390857;48;40;0x4000
0;0;1291354902670;78;67;0x4000
0;0;1300138855467;37;30;0x4000
0;0;1305957986608;37;37;0x4000
0;0;1310811369638;35;31;0x4000
0;0;1315465845007;462;332;0x4000
0;0;1326044429749;63;57;0x4000
0;0;1328777680061;87;62;0x4000
0;0;1342305459921;23;21;0x4000
0;0;1342933925686;47;41;0x4000
0;0;1344115697341;41;38;0x4000
0;0;1344633084197;396;331;0x4000
0;0;1345521801030;528;449;0x4000
0;0;1353951435187;94;72;0x4000
0;0;1360913075405;125;116;0x4000
0;0;1363511387132;360;304;0x4000
0;0;1364271165967;18;21;0x4000
0;0;1366019458639;385;320;0x4000
0;0;1386107379890;34;34;0x4000
0;0;1406017886421;38;35;0x4000
0;0;1411831184467;62;45;0x4000
0;0;1412685106112;125;107;0x4000
0;0;1419472207452;39;36;0x4000
0;0;1424497957857;107;92;0x4000
0;0;1431112012749;79;56;0x4000
0;0;1464536495498;59;45;0x4000
0;0;1490387928148;115;97;0x4000
0;0;1496608301546;38;33;0x4000
0;0;1499294059889;85;64;0x4000
0;0;1510788419498;53;43;0x4000
0;0;1516698068443;70;46;0x4000
0;0;1524888030224;88;72;0x4000
0;0;1531915859468;40;40;0x4000
0;0;1536529471967;15;17;0x4000
0;0;1537634165858;59;55;0x4000
0;0;1545695043342;85;72;0x4000
0;0;1559752718968;40;27;0x4000
0;0;1574987264358;58;50;0x4000
0;0;1584076596857;58;40;0x4000
0;0;1584129232429;93;88;0x4000
0;0;1584693720960;91;84;0x4000
0;0;1585294554655;68;59;0x4000
0;0;1589222882351;104;99;0x4000
0;0;1591300275702;37;37;0x4000
0;0;1596768745811;22;21;0x4000
0;0;1597672577093;41;41;0x4000
0;0;1598995530596;476;417;0x4000
0;0;1605963617546;74;55;0x4000
0;0;1612956123764;301;247;0x4000
0;0;1622424343607;346;283;0x4000
0;0;1624970855022;177;148;0x4000
0;0;1625312885193;63;59;0x4000
0;0;1627827656241;107;78;0x4000
0;0;1629277476413;81;57;0x4000
0;0;1635327363936;36;33;0x4000
0;0;1650045207608;89;87;0x4000
0;0;1653914694451;53;52;0x4000
0;0;1663620496257;97;89;0x4000
0;0;1671353139843;241;44;0x4000
0;0;1677418007624;93;80;0x4000
0;0;1680346801781;37;33;0x4000
0;0;1696308509686;16;20;0x4000
0;0;1696356101390;66;65;0x4000
0;0;1702959092162;134;113;0x4000
0;0;1715068965217;57;52;0x4000
0;0;1721682469076;50;37;0x4000
0;0;1723624160608;352;297;0x4000
0;0;1738327693936;40;30;0x4000
0;0;1744894606967;63;35;0x4000
0;0;1758640980749;38;36;0x4000
0;0;1777744433530;60;39;0x4000
0;0;1785031184624;35;29;0x4000
0;0;1787461788452;46;42;0x4000
0;0;1791396350647;125;117;0x4000
0;0;1799958569718;40;29;0x4000
0;0;1810974633264;52;44;0x4000
0;0;1841363361561;52;38;0x4000
0;0;1849049030201;89;83;0x4000
0;0;1857204188748;43;37;0x4000
0;0;1859190279936;52;46;0x4000
0;0;1862177666427;100;63;0x4000
0;0;1862503757140;57;39;0x4000
0;0;1875794770960;72;65;0x4000
0;0;1881408240053;127;97;0x4000
0;0;1897762376780;109;97;0x4000
0;0;1898435220147;130;118;0x4000
0;0;1901328967343;35;35;0x4000
0;0;1914168099248;269;216;0x4000
0;0;1914669830623;40;31;0x4000
0;0;1918579232092;165;148;0x4000
0;0;1920261059499;123;108;0x4000
0;0;1924347154874;47;50;0x4000
0;0;1929301747186;48;43;0x4000
0;0;1959313525327;59;50;0x4000
0;0;1962891293296;57;49;0x4000
0;0;1971392813827;36;33;0x4000
0;0;1974627942000;164;123;0x4000
0;0;1975410297904;60;58;0x4000
0;0;1990623180139;45;40;0x4000
0;0;1996231993779;65;57;0x4000
0;0;2014636349358;119;105;0x4000
0;0;2016042790880;132;97;0x4000
0;0;2026448624541;336;288;0x4000
0;0;2027905016014;202;168;0x4000
0;0;2045467619069;94;89;0x4000
0;0;2051080774992;355;308;0x4000
0;0;2071724379404;47;41;0x4000
0;0;2078354111264;47;44;0x4000
0;0;2084922860678;81;65;0x4000
0;0;2085578606913;989;839;0x4000
0;0;2092879080307;416;345;0x4000
0;0;2098729964154;59;41;0x4000
0;0;2119296367577;64;46;0x4000
0;0;2132429067062;41;38;0x4000
0;0;2136000276067;400;339;0x4000
0;0;2136534317280;43;39;0x4000
0;0;2140635653327;58;45;0x4000
0;0;2141740040346;168;150;0x4000
0;0;2152295008170;94;75;0x4000
0;0;2157536530702;99;84;0x4000
0;0;2162559069249;54;44;0x4000
0;0;2165507287889;90;69;0x4000
0;0;2167055008023;65;56;0x4000
0;0;2168993344148;435;372;0x4000
0;0;2171194800890;41;38;0x4000
0;0;2183310764842;29;29;0x4000
0;0;2185127607795;42;34;0x4000
0;0;2186876612896;87;69;0x4000
0;0;2186959948373;1354;1162;0x4000
0;0;2189656932342;74;54;0x4000
0;0;2191564810944;192;177;0x4000
0;0;2192497299154;50;42;0x4000
0;0;2193282607452;108;81;0x4000
0;0;2196583202000;64;48;0x4000
0;0;2197967850913;73;55;0x4000
0;0;2198195462404;62;46;0x4000
0;0;2204081483639;37;36;0x4000
0;0;2213472504022;79;68;0x4000
0;0;2223656626475;152;105;0x4000
0;0;2233905874843;3311;2791;0x4000
0;0;2239166838546;47;42;0x4000
0;0;2240500083639;79;57;0x4000
0;0;2253712335357;55;52;0x4000
0;0;2255809404152;338;277;0x4000
0;0;2257477277889;65;46;0x4000
0;0;2281942080802;95;70;0x4000
0;0;2288263550616;41;43;0x4000
0;0;2288264295562;32;26;0x4000
0;0;2293679039937;37;26;0x4000
0;0;2311957218999;55;36;0x4000
0;0;2312556707732;102;97;0x4000
0;0;2313700523185;23;20;0x4000
0;0;2322900472608;49;41;0x4000
0;0;2324356220773;433;385;0x4000
0;0;2336203198495;334;288;0x4000
0;0;2349747132483;66;52;0x4000
0;0;2360042698936;45;43;0x4000
0;0;2366992284607;70;68;0x4000
0;0;2378005285920;147;139;0x4000
0;0;2379500019187;79;69;0x4000
0;0;2382871078249;36;31;0x4000
0;0;2386969195795;585;417;0x4000
0;0;2388623168367;55;49;0x4000
0;0;2399848532491;120;101;0x4000
0;0;2401663542725;73;51;0x4000
0;0;2413134995749;86;74;0x4000
0;0;2434863932695;119;109;0x4000
0;0;2458829105779;37;32;0x4000
0;0;2463025375765;50;51;0x4000
0;0;2465054998001;31;31;0x4000
0;0;2465818285593;58;54;0x4000
0;0;2472634602124;32;28;0x4000
0;0;2479386021022;177;157;0x4000
0;0;2482509429233;45;37;0x4000
0;0;2483779349530;379;307;0x4000
0;0;2496106282419;61;45;0x4000
0;0;2506428726835;87;67;0x4000
0;0;2509221510623;42;37;0x4000
0;0;2514563531763;37;35;0x4000
0;0;2516897890013;67;62;0x4000
0;0;2527801353686;39;30;0x4000
0;0;2532678225405;80;55;0x4000
0;0;2538480975468;128;102;0x4000
0;0;2544648812342;51;47;0x4000
0;0;2546047208811;25;27;0x4000
0;0;2586521408577;89;63;0x4000
0;0;2586776158968;62;56;0x4000
0;0;2588572362591;35;36;0x4000
0;0;2594018848952;42;43;0x4000
0;0;2604858951342;30;27;0x4000
0;0;2605852985185;35;41;0x4000
0;0;2612769433670;48;34;0x4000
0;0;2620703242787;72;67;0x4000
0;0;2620809609607;44;46;0x4000
0;0;2622070495265;37;29;0x4000
0;0;2622352213389;19;21;0x4000
0;0;2623623877936;14;17;0x4000
0;0;2624327753873;39;36;0x4000
0;0;2630133394999;41;32;0x4000
0;0;2633783848131;117;101;0x4000
0;0;2637607833281;31;30;0x4000
0;0;2637712218725;111;78;0x4000
0;0;2643116087748;63;57;0x4000
0;0;2647615785919;48;35;0x4000
0;0;2655794198866;416;318;0x4000
0;0;2677150449280;49;44;0x4000
0;0;2697858965374;29;27;0x4000
0;0;2698911529248;55;40;0x4000
0;0;2709700307952;73;64;0x4000
0;0;2720220860167;311;270;0x4000
0;0;2720828995241;99;85;0x4000
0;0;2736736103093;80;65;0x4000
0;0;2741765227795;46;41;0x4000
0;0;2743529674345;296;261;0x4000
0;0;2746593577624;27;32;0x4000
0;0;2755626155529;60;33;0x4000
0;0;2756909880335;48;48;0x4000
0;0;2765612213420;131;115;0x4000
0;0;2769860599303;56;56;0x4000
0;0;2770514279873;31;28;0x4000
0;0;2776770603467;143;123;0x4000
0;0;2780380946611;406;338;0x4000
0;0;2792353682998;89;78;0x4000
0;0;2797546161295;66;61;0x4000
0;0;2819116429560;32;23;0x4000
0;0;2837246932827;360;299;0x4000
0;0;2841186907499;21;20;0x4000
0;0;2843623019608;48;44;0x4000
0;0;2848954028350;166;120;0x4000
0;0;2853062831935;114;109;0x4000
0;0;2854286235288;315;289;0x4000
0;0;2861048574686;52;50;0x4000
0;0;2870946337139;45;41;0x4000
0;0;2875729951124;32;27;0x4000
0;0;2882112227467;28;25;0x4000
0;0;2886691726593;35;30;0x4000
0;0;2890966116163;87;73;0x4000
0;0;2898421133091;46;44;0x4000
0;0;2905711120968;21;26;0x4000
0;0;2914545629060;77;56;0x4000
0;0;2914827821342;30;32;0x4000
0;0;2918439612156;1101;956;0x4000
0;0;2929872287530;46;37;0x4000
0;0;2935575574000;62;55;0x4000
0;0;2938860853436;97;51;0x4000
0;0;2947446024841;45;41;0x4000
0;0;2948547989748;22;22;0x4000
0;0;2958588868124;47;38;0x4000
